"","Date","Region","Store","Units.Sold","Average.Retail.Price","Sales.Rep","Endcap","Demo","Demo1.3","Demo4.5","Natural","Fitness"
"231","7/13/2010","MA","P Street",286.3147159,3.711666667,0,0,0,1,0,1,4
"232","5/4/2010","MA","Philadelphia",156.6309986,3.904285714,0,0,0,0,0,4,2
"233","5/11/2010","MA","Philadelphia",170.6444358,3.634444444,0,0,0,0,0,4,2
"234","5/18/2010","MA","Philadelphia",186.3977398,3.34,0,0,0,0,0,4,2
"235","5/25/2010","MA","Philadelphia",250.8764748,3.412222222,0,0,0,0,0,4,2
"236","6/1/2010","MA","Philadelphia",199.6892794,3.404285714,0,0,0,0,0,4,2
"237","6/8/2010","MA","Philadelphia",148.6349336,3.904285714,0,0,0,0,0,4,2
"238","6/15/2010","MA","Philadelphia",320.9399014,3.904285714,0,0,0,0,0,4,2
"239","6/22/2010","MA","Philadelphia",187.7274918,3.904285714,0,0,0,0,0,4,2
"240","6/29/2010","MA","Philadelphia",235.1267258,3.904285714,0,0,0,0,0,4,2
"241","7/6/2010","MA","Philadelphia",215.6434901,3.608571429,0,0,0,0,0,4,2
"242","7/13/2010","MA","Philadelphia",215.0260295,3.608571429,0,0,0,0,0,4,2
"243","5/4/2010","MA","Princeton",163.5788369,4.137142857,0,0,0,0,0,0,3
"244","5/11/2010","MA","Princeton",240.1428387,3.74,0,0,0,0,0,0,3
"245","5/18/2010","MA","Princeton",173.9643557,3.656666667,0,0,0,0,0,0,3
"246","5/25/2010","MA","Princeton",208.7259185,3.34,0,0,0,0,0,0,3
"247","6/1/2010","MA","Princeton",241.9129896,3.480909091,0,0,0,0,0,0,3
"248","6/8/2010","MA","Princeton",199.3725547,3.735454545,0,0,0,0,0,0,3
"249","6/15/2010","MA","Princeton",128.1594283,3.735454545,0,0,0,0,0,0,3
"250","6/22/2010","MA","Princeton",294.9615773,3.735454545,0,0,1,0,0,0,3
"251","6/29/2010","MA","Princeton",174.5903008,3.829,0,0,0,1,0,0,3
"252","7/6/2010","MA","Princeton",336.4734456,3.359090909,0,0,0,1,0,0,3
"253","7/13/2010","MA","Princeton",307.9399779,3.359090909,0,0,0,1,0,0,3
"254","5/4/2010","MA","Rockville",171.965814,3.904285714,0,0,0,0,0,1,4
"255","5/11/2010","MA","Rockville",254.4979563,3.904285714,0,0,0,0,0,1,4
"256","5/18/2010","MA","Rockville",169.6036559,3.34,0,0,0,0,0,1,4
"257","5/25/2010","MA","Rockville",128.2362601,3.34,0,0,0,0,0,1,4
"258","6/1/2010","MA","Rockville",220.5186312,3.34,0,0,0,0,0,1,4
"259","6/8/2010","MA","Rockville",262.8915495,3.54,0,0,0,0,0,1,4
"260","6/15/2010","MA","Rockville",309.2205361,3.54,0,0,0,0,0,1,4
"261","6/22/2010","MA","Rockville",243.5738441,3.54,0,0,1,0,0,1,4
"262","6/29/2010","MA","Rockville",234.5343048,3.54,0,0,0,1,0,1,4
"263","7/6/2010","MA","Rockville",323.5478932,3.126,0,0,0,1,0,1,4
"264","7/13/2010","MA","Rockville",298.3900808,3.126,0,0,0,1,0,1,4
"265","5/4/2010","MA","Short Pump",202.6898971,3.904285714,0,0,0,0,0,0,1
"266","5/11/2010","MA","Short Pump",277.1521004,3.904285714,0,0,0,0,0,0,1
"267","5/18/2010","MA","Short Pump",184.9413635,3.7775,0,0,0,0,0,0,1
"268","5/25/2010","MA","Short Pump",269.4285447,3.618571429,0,0,0,0,0,0,1
"269","6/1/2010","MA","Short Pump",226.9531454,3.5025,0,0,0,0,0,0,1
"270","6/8/2010","MA","Short Pump",51.733293,3.967777778,0,0,0,0,0,0,1
"271","6/15/2010","MA","Short Pump",215.3091665,3.7525,0,0,0,0,0,0,1
"272","6/22/2010","MA","Short Pump",261.7205309,3.84,0,0,0,0,0,0,1
"273","6/29/2010","MA","Short Pump",196.7738054,3.84,0,0,0,0,0,0,1
"274","7/6/2010","MA","Short Pump",141.0001178,3.367142857,0,0,0,0,0,0,1
"275","7/13/2010","MA","Short Pump",201.603222,3.661111111,0,0,0,0,0,0,1
"276","5/4/2010","MA","Tysons",185.3763259,3.7525,0,0,0,0,0,0,5
"277","5/11/2010","MA","Tysons",220.860644,3.54,0,0,0,0,0,0,5
"278","5/18/2010","MA","Tysons",180.132464,3.34,0,0,0,0,0,0,5
"279","5/25/2010","MA","Tysons",221.7446959,3.34,0,0,0,0,0,0,5
"280","6/1/2010","MA","Tysons",196.8666825,3.412222222,0,0,0,0,0,0,5
"281","6/8/2010","MA","Tysons",233.5011061,3.634444444,0,0,0,0,0,0,5
"282","6/15/2010","MA","Tysons",312.2376234,3.7525,0,0,1,0,0,0,5
"283","6/22/2010","MA","Tysons",257.853053,3.634444444,0,0,0,1,0,0,5
"284","6/29/2010","MA","Tysons",276.0498738,4.056666667,0,0,0,1,0,0,5
"285","7/6/2010","MA","Tysons",330.7167597,3.126,0,0,0,1,0,0,5
"286","7/13/2010","MA","Tysons",320.6107173,3.531818182,0,0,0,0,1,0,5
"287","5/4/2010","MA","Vienna",204.412955,3.565,0,0,0,0,0,1,4
"288","5/11/2010","MA","Vienna",177.7028143,3.54,0,0,0,0,0,1,4
"289","5/18/2010","MA","Vienna",98.09849848,3.34,0,0,0,0,0,1,4
"290","5/25/2010","MA","Vienna",177.7613215,3.412222222,0,0,0,0,0,1,4
"291","6/1/2010","MA","Vienna",213.8990938,3.34,0,0,0,0,0,1,4
"292","6/8/2010","MA","Vienna",193.923992,3.634444444,0,0,0,0,0,1,4
"293","6/15/2010","MA","Vienna",201.3526781,3.475714286,0,0,0,0,0,1,4
"294","6/22/2010","MA","Vienna",195.1513437,3.54,0,0,0,0,0,1,4
"295","6/29/2010","MA","Vienna",177.5904676,3.54,0,0,0,0,0,1,4
"296","7/6/2010","MA","Vienna",173.6738297,3.126,0,0,0,0,0,1,4
"297","7/13/2010","MA","Vienna",158.1196591,3.4075,0,0,0,0,0,1,4
"298","5/4/2010","MW","Ann Arbor",171.0214757,4.19,1,0,0,0,0,2,3
"299","5/11/2010","MW","Ann Arbor",213.9271823,4.69,1,0,0,0,0,2,3
"300","5/18/2010","MW","Ann Arbor",303.141832,4.1525,1,0,0,0,0,2,3
"301","5/25/2010","MW","Ann Arbor",234.5305787,4.301111111,1,0,0,0,0,2,3
"302","6/1/2010","MW","Ann Arbor",269.0856797,3.671818182,1,0,0,0,0,2,3
"303","6/8/2010","MW","Ann Arbor",300.5484223,4.062727273,1,0,0,0,0,2,3
"304","6/15/2010","MW","Ann Arbor",288.1801844,4.39,1,0,1,0,0,2,3
"305","6/22/2010","MW","Ann Arbor",396.249582,4.39,1,0,1,1,0,2,3
"306","6/29/2010","MW","Ann Arbor",256.5501374,3.735454545,1,0,0,1,0,2,3
